"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPX3",-1.66388680241836,7.41368717357606,-5.59931755408423,3.31158139906031e-08,1.95844339202108e-07,7.91806506964541
"AXDND1",-1.59008526198029,3.80709245664273,-5.58538668287024,3.57372512512106e-08,2.10125989951738e-07,7.84432470325012
"FABP1",-3.10907774017259,10.6965177646769,-5.57739812115231,3.73303928653611e-08,2.18710859433554e-07,7.80211324918152
"CD48",-1.09997886429757,6.93963986586496,-5.56118245900584,4.07793832934052e-08,2.37809247497322e-07,7.71659689881896
"S100A14",-1.28295262665064,9.00254362188205,-5.51811974030038,5.1511071519162e-08,2.96667672547152e-07,7.49058501315992
"SCNN1A",-1.4653698604354,9.3196815506017,-5.48182429109123,6.26467754530676e-08,3.55719811614588e-07,7.30131996125304
"TMED6",-1.27943266345535,4.76928965011795,-5.46496126884207,6.85848100621841e-08,3.86458764925814e-07,7.21376985501574
"NKX2-3",-1.26248369220579,5.16667300827522,-5.44209716108689,7.75157092249081e-08,4.33240428723152e-07,7.095451969451
"RCAN2",-1.03909288911122,6.15277773520855,-5.43938430160303,7.86475033460138e-08,4.39106664226359e-07,7.08144311183073
"PPARG",-1.10164044767435,8.2729410671282,-5.40336886680838,9.52812475618177e-08,5.27092692386054e-07,6.89606236444761
"ECI2",-1.11002959107477,7.65344010747522,-5.39210335160386,1.01151953755598e-07,5.57902373746996e-07,6.83830454281256
"PRSS8",-1.01261604969686,8.77710086471795,-5.38874463368384,1.02969165585265e-07,5.66754807073763e-07,6.82110564668425
"DNAJB4",-1.02831286213093,6.13892881586496,-5.36983198610396,1.13808428801794e-07,6.22088692301851e-07,6.72444129191802
"GIPC2",-1.34463147548428,7.05187449850085,-5.3525871716549,1.24650968968422e-07,6.77541911459748e-07,6.63656971472157
"H2AC6",-1.23753361161771,8.10884837957606,-5.26552468601389,1.96597253998286e-07,1.03874716275504e-06,6.19685631455998
"AKR1C3",-1.72683659653412,9.40741765005641,-5.2472716102826,2.16130127999246e-07,1.13382088017675e-06,6.10549916167262
"FHL1",-1.1871427281735,6.01743921014189,-5.24714728646229,2.16269407270271e-07,1.13427305477268e-06,6.10487790691015
"MFAP5",-1.66270889656454,6.02102561897436,-5.24608112064134,2.17467402463827e-07,1.13999656242507e-06,6.09955075212479
"TMEM35A",-1.13819448388153,3.94730188471282,-5.24419093845718,2.19607122885838e-07,1.15036660816418e-06,6.09010877622693
"FAM110C",-1.1884335127533,7.62121348769059,-5.23596885602409,2.29154364386216e-07,1.19744223620452e-06,6.04907325794662
"GNE",-1.44089818419303,8.40547977905471,-5.22830964704902,2.38408905442628e-07,1.24215632348028e-06,6.01089970412341
"OTC",-1.19442099537529,3.83681502905299,-5.22035911473412,2.48398072345023e-07,1.29073969158466e-06,5.9713280092615
"TOX",-1.5042114534379,5.69701761131795,-5.20739158166097,2.65566382386178e-07,1.37128006100664e-06,5.9069031910102
"SGPP2",-1.17035249377673,8.4320993575812,-5.19717673262261,2.79893988888895e-07,1.4400421046446e-06,5.85625695099766
"FOS",-1.41320119691733,9.35788806032308,-5.19387202951098,2.8468743348314e-07,1.46327874515874e-06,5.83989130698813
"CDH17",-1.17414176424678,10.8621480961709,-5.16591000605721,3.28555304920465e-07,1.67228232497274e-06,5.70179695901909
"AGR3",-2.62531267126417,8.74520365149572,-5.1361223856795,3.82470765477099e-07,1.92605534903351e-06,5.55543507838781
"MEIS3P1",-1.03970266625954,6.16620047605128,-5.11034928780846,4.35946088070739e-07,2.17993448720044e-06,5.42942253757946
"COL17A1",-1.13172563523312,6.20309949100342,-5.097665336186,4.6485131694806e-07,2.31364502427887e-06,5.36761961460927
"RRAS2",-1.13201957591101,5.97532938169573,-5.09681804909001,4.66846852451405e-07,2.32249515630481e-06,5.36349618831596
"KIT",-1.27135523329599,5.57399190644445,-5.08688114607614,4.90877417583586e-07,2.43693721689323e-06,5.31518383211589
"C16orf54",-1.34188486810545,4.05796997593333,-5.0813448263686,5.04780314855865e-07,2.50072826049739e-06,5.28830414895932
"CD24",-1.07830925844366,11.2186134911333,-5.07765127409135,5.14266528766196e-07,2.54595294720744e-06,5.27038628171005
"CYBRD1",-1.24862770326557,5.54191859043248,-5.06121954157741,5.58598388690158e-07,2.74886498644464e-06,5.19081853411093
"LXN",-1.07378985415892,7.92846184713676,-4.9528099265764,9.5839365493414e-07,4.542590333846e-06,4.67179381790002
"TXNIP",-1.02464047944235,9.77001963027008,-4.94378804114383,1.00198139519814e-06,4.72916510275983e-06,4.62906563297357
"MPEG1",-1.20697804565408,7.04747457064786,-4.92797788421835,1.08302046669043e-06,5.0792138524527e-06,4.55436057781334
"KLK1",-1.02009548587568,7.13719031634529,-4.91142370735198,1.17463913612695e-06,5.48241905234264e-06,4.47637589010919
"MS4A8",-1.25077005982304,5.6088356370547,-4.90232015336628,1.22816308585404e-06,5.70605798117922e-06,4.43359311064258
"CDC42EP5",-1.01721641262265,9.72069110328888,-4.88887002537979,1.31156927525447e-06,6.06980738669314e-06,4.37051708637651
"PNLIPRP2",-1.56591082588282,4.55954016490427,-4.88375277917137,1.34471491608749e-06,6.21512515942925e-06,4.34656105386266
"ACSM3",-1.20661140752929,5.40013319002564,-4.83854401943225,1.67481944939081e-06,7.61563464037742e-06,4.13592427589643
"BIRC3",-1.13093332600678,7.13918929563589,-4.81872891756108,1.84296283465627e-06,8.33232900721551e-06,4.04417143520552
"GNAI1",-1.11517066993956,5.18749444445299,-4.7997230320509,2.0194441542965e-06,9.06691810146111e-06,3.95649233735404
"CYP3A5",-1.37037193107932,7.91031398275556,-4.78810132409669,2.1352612069184e-06,9.54080430954107e-06,3.90303611373942
"F13A1",-1.34845053892049,6.26877717354872,-4.77017934538605,2.32649208020212e-06,1.03412016387932e-05,3.8208354447617
"CTSE",-2.03984608437002,6.57074654981197,-4.74813355080907,2.5844021067387e-06,1.13951547285774e-05,3.72011165967674
"SOSTDC1",-1.45500632052327,5.88268887622564,-4.72602288714978,2.87059422496136e-06,1.25559850163254e-05,3.61952530693589
"ADRA2A",-1.31768461901533,5.55913670702736,-4.723602833799,2.90370889207376e-06,1.2690437287163e-05,3.60854234066787
"SLC3A1",-1.69984971919638,7.28904271731282,-4.71901606855938,2.96748260413661e-06,1.29400409801198e-05,3.58774044912581
