"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIR100HG",-0.253721681131203,4.03179371978632,-0.915013342767321,0.360561293632945,0.452757002882883,-6.89286698243035
"PFKP",-0.158681709679467,9.22728635835557,-0.914926243811725,0.360606981203114,0.452787763258326,-6.89294634754292
"ISOC1",-0.110934018951638,8.49159463412136,-0.914618420124484,0.36076847863756,0.45296392543476,-6.89322677805035
"SLC25A53",0.034719213524178,2.87092729036923,0.914363667669637,0.360902167039971,0.453105153248902,-6.89345878896614
"HSF5",-0.0623563344110087,2.93175202789914,-0.913651613758538,0.361276002265465,0.45354784608732,-6.89410693660614
"LMOD3",-0.0362231362453054,2.81614009447351,-0.913552868986423,0.361327863445062,0.453580107239525,-6.89419677936118
"LOC105372485",0.0869429742768224,5.28926357578974,0.913521849087453,0.361344156195591,0.453580107239525,-6.89422500076235
"LOC339666",-0.0457951390150651,4.34327495184274,-0.913357535400771,0.36143046727068,0.453661798400553,-6.89437447475428
"PPHLN1",-0.0624033281226484,4.05957831253162,-0.913088152559294,0.361571997351254,0.453812785914253,-6.89461947076044
"NAA38",-0.122088952301753,8.4602265429624,-0.912480397676508,0.36189143141576,0.454187031721617,-6.89517194179143
"ARNT2",0.154049196510781,4.7219870088,0.912001847596779,0.362143080570777,0.454476166014083,-6.8956067028929
"ESRRG",0.13563403353144,3.30692897955214,0.911842998573421,0.362226636814905,0.454554328350507,-6.89575096641069
"LINC02400",-0.0424604405169266,3.37454968863077,-0.91157268769499,0.362368850988548,0.454706086391374,-6.89599639976334
"NYAP2",-0.036564908776269,3.11089384961538,-0.911341976644938,0.362490258891811,0.454831720109304,-6.89620582038475
"MTHFR",-0.0589255895049325,5.29488503811282,-0.91127094475503,0.362527643399548,0.454851917587678,-6.89627028668226
"FABP3",0.157794622730997,5.09556924485641,0.91085516829413,0.362746517584892,0.455099808656942,-6.89664753175337
"LOC105379448",-0.0403333626327892,3.00110141903932,-0.910691841287533,0.36283251932316,0.455180979355212,-6.89679567573836
"LINC00559",-0.0427305539120344,3.23390575599145,-0.910426723074577,0.362972147651789,0.455309505505641,-6.89703609192915
"ARHGAP45",-0.0957889257414055,7.37308159541538,-0.91041639508521,0.362977587718589,0.455309505505641,-6.89704545620995
"ZDHHC17",0.139044910885626,6.95600710064274,0.910156908831844,0.363114283829384,0.455454235549307,-6.89728069493744
"SLCO1A2",0.0407404827959811,2.60429849725983,0.910074131973488,0.363157897075272,0.45548220162053,-6.89735572269793
"HTATSF1",0.107322086737034,5.85119736091452,0.90990941748247,0.363244691174735,0.455564319794011,-6.89750499731526
"USF1",0.109955747855957,4.90265608490086,0.909433338064839,0.363495628020941,0.45585227631902,-6.89793629890675
"PLPPR5",-0.0351192307742219,2.76164553076239,-0.909375209097515,0.36352627468283,0.455863953937908,-6.89798894511346
"KCNMB1",0.0513742227666011,3.17912298474017,0.909046183291096,0.363699773691981,0.456054757304962,-6.89828687374821
"CALCOCO1",0.0781377135983798,7.26569968893675,0.908999494246363,0.363724397556778,0.456058869936957,-6.89832914136726
"PARP6",0.115138859266866,7.7228433298359,0.908909957803831,0.363771622121251,0.456075515279413,-6.898410192704
"VSIR",0.0929210351757539,10.1649865363932,0.908893386970008,0.363780362564096,0.456075515279413,-6.89842519229536
"PPP4R4",0.0408900665556998,3.0347048727436,0.908317758112701,0.364084065176264,0.456429489592891,-6.89894607090148
"TRIM16L",0.0874677400027015,3.57543547605299,0.908003908593399,0.364249719563601,0.456610370074242,-6.8992299303817
"SCN4A",0.0590744123392217,3.92578248321197,0.907832442570107,0.364340241799599,0.456697051890886,-6.89938497056792
"RBMXL1",0.117358638179737,6.64647756178632,0.907740484044324,0.36438879536696,0.456731119294059,-6.89946810776456
"OMA1",-0.12475605270987,7.20625062232821,-0.907491587069879,0.364520231860821,0.456869063477837,-6.89969308660857
"CPS1-IT1",-0.0371799123477797,3.62507975315043,-0.906650410834683,0.36496465655208,0.457399250193459,-6.90045297343481
